internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
177320,Scleria poklei,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Scleria,poklei,,,,,M.A.Wadood Khan,"<p><span style=""font-style: italic;"">Scleria poklei</span> is named after the author's close friend Dr. Dileep Pokle, Reader in Botany, Deogiri College, Aurangabad, for his contributions in the field of taxonomy and in Flora of Marathwada (1998) by V.N. Naik. This species is very similar to <span style=""font-style: italic;"">Scleria reticulata</span> (Holtt.) Kern but differs in having 3-lobbed and distinctly several nerved glumes of female spikelets and etuberculate nuts with sparsely hispidulous apex.</p><p>Taxonomic status of this recently described species to be reviewed.</p>"
177326,Lipocarpha reddyi,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Lipocarpha,reddyi,,,,,S.S.Hooper,<em><br/></em>
177355,Chara nuda,PLANTAE,CHAROPHYTA,CHARALES,CHAROPHYACEAE,CHARACEAE,Chara,nuda,,,,,B.S.Pal,
177373,Isoetes divyadarshanii,PLANTAE,TRACHEOPHYTA,ISOËTALES,LYCOPODIOPSIDA,ISOËTACEAE,Isoetes,divyadarshanii,,,,,"P.K.Shukla, G.K.Srivast. &amp; S.K.Shukla","<span style=""font-style: italic;"">Isoetes divyadarshanii </span>was reported by Shukla <span style=""font-style: italic;"">et al.</span> (2005) from Lonavala, Pune, Maharashtra. The type is PK Shukla 8400. Holotype is deposited in CAL (Central National Herbarium, Howrah/Kolkata) and isotypes are in K (Royal Botanical Gardens Kew) and DD (Forest Research Institute Dehra Dun). But Fraser-Jenkins (2008) and Chandra <span style=""font-style: italic;"">et al</span>. (2008) consider this as a dubious taxon, doubtfully endemic."
177375,Lipocarpha raynaleana,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Lipocarpha,raynaleana,,,,,Govind.,
177379,Eriocaulon koynense,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,ERIOCAULACEAE,Eriocaulon,koynense,,,,,"Punekar, Mungikar &amp; Lakshmin.","<span style=""font-style: italic;"">Eriocaulon koynense </span>is described by Punekar, Mungikar and Lakshminarasimhan (Punekar <span style=""font-style: italic;"">et al.</span> 2003).&#160;The type (Rahul Mungikar 186488) has been collected from Old Vasota fort in Koyana Wildlife Sanctuary, Satara dt. of Maharashtra. Holotype is in CAL, Isotypes are in BSI and MH."
178836,Excoecaria indica,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Excoecaria,indica,,,,,(Willd.) Müll.Arg.,<i>Shirakiopsis indica</i> is a synonym of this species.
178848,Brownlowia argentata,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,MALVACEAE,Brownlowia,argentata,,,,,Kurz,
178874,Cycas glauca,PLANTAE,TRACHEOPHYTA,CYCADALES,CYCADOPSIDA,CYCADACEAE,Cycas,glauca,,,,,Hort. ex Miq.,
178882,Zamia oligodonta,PLANTAE,TRACHEOPHYTA,CYCADALES,CYCADOPSIDA,ZAMIACEAE,Zamia,oligodonta,,,,,E.Calderón-Sáenz &amp; D.W.Stev.,
